	R10	R11	R12	R1	R2	R3
Tpd52l1	571	441	498	741	438	430
Pemt	34	25	50	48	36	36
Cdh1	8992	9714	10043	10183	9182	9057
Cdh4	0	0	0	0	0	0
Ckmt1	0	0	0	0	0	0
Bcl6b	0	2	1	4	0	1
Clec10a	0	0	0	0	0	0
Alox12	1	0	0	1	0	0
Comt	1188	1113	1279	1747	1288	1261
Rtca	513	583	674	593	606	631
Dbt	119	157	191	369	167	174
Dazap2	1696	1892	2278	1837	2003	2091
Mcts1	275	230	311	292	302	324
Rem1	0	0	0	0	0	1
Rnf17	0	0	0	0	0	0
Trappc10	506	782	849	890	806	740
Ccm2	531	594	686	888	694	684
Wap	0	0	0	0	0	0
Tbrg4	481	577	709	797	670	687
Tmprss2	22	11	17	5	10	14
Mx1	6	3	2	26	7	0
Fap	3	3	3	0	1	3
Gcg	0	0	0	0	0	0
Ndufa9	709	699	958	822	882	812
Egfl6	2	0	0	0	1	0
Lck	45	38	52	60	48	53
Tssk3	1	1	1	0	0	0
Cttnbp2	0	0	0	0	0	0
Galnt1	1476	1598	1812	2289	1670	1648
Myf5	0	0	0	0	0	0
Mkrn2	380	355	406	425	398	384
Pparg	1	2	1	3	0	4
Raf1	457	495	565	565	512	547
Septin1	6	7	11	14	11	13
Pdgfb	1286	1760	1992	996	1920	2008
Acvrl1	32	21	33	16	39	29
Tamalin	198	202	238	325	179	205
Acvr1b	242	281	308	408	324	295
Tom1l2	636	613	665	1232	638	659
Gpa33	2491	1972	2209	5735	2184	2118
Zfp385a	188	215	257	228	197	228
Itga5	1023	1076	1213	946	1099	1153
Gabra2	0	0	0	0	0	0
Wdr77	267	309	387	352	349	335
Adora3	0	0	0	0	0	0
Atp5pb	2614	2547	3143	2768	3056	2969
Sox9	635	777	791	1214	691	717
Hnrnpd	1399	1974	2408	1722	2282	2248
Dynlt1c	85	48	85	164	86	94
C1d	410	428	569	404	494	522
Gm2a	1385	1195	1368	1366	1205	1210
Krit1	372	504	462	454	375	456
Clcn4	167	199	268	231	226	262
Vmn2r88	0	0	0	0	0	0
Grm6	0	0	0	0	0	0
Sema4f	36	24	24	25	32	24
Hk2	1320	1408	1536	3247	1563	1533
Myo18a	3152	3403	3389	5099	3255	3553
Sez6	0	0	0	0	0	0
Haao	1	0	0	0	2	1
Cd52	0	0	0	0	1	0
Abhd15	8	6	17	9	8	5
Hoxb6	0	0	0	0	1	0
Loxl3	325	239	300	368	249	265
Tcl1b5	0	0	0	0	0	0
Btn1a1	83	121	106	163	87	101
Kat2b	552	708	726	717	599	653
Rab5b	1437	1499	1812	1504	1634	1603
Cryba1	1	1	0	1	2	0
Dnmt3l	0	2	0	0	0	0
Aire	19	13	19	10	19	13
Icosl	159	167	182	110	127	176
Spg7	1507	1627	1947	1782	1782	1820
Sult5a1	5	0	1	2	1	1
Rpl13	12465	10002	13364	13473	13595	14024
Chmp1a	1098	985	1280	1561	1133	1154
Rpa1	2290	2596	3166	2235	3054	2920
Serpinf1	9	3	3	9	15	6
Tubgcp3	834	1111	1166	1108	1057	1113
Oprm1	0	0	0	0	0	0
Polr3d	218	212	293	331	255	288
Tcf7	276	312	331	291	320	316
Ddx3x	2625	3717	4089	4439	3595	3634
Il12rb1	168	118	130	152	127	114
Slc5a5	61	30	28	15	23	28
Kcnn3	3	2	3	2	2	1
Usp32	942	1128	977	1273	967	998
Car4	0	0	0	0	0	1
Txnrd3	101	113	131	124	134	137
Fasl	0	0	0	2	0	0
Zfp512b	198	279	243	416	237	232
Dnajc5	1270	1404	1597	1723	1508	1545
Tpd52l2	1045	968	1200	1298	1103	1154
Fmr1	1152	1613	1755	1346	1569	1602
Bcl11a	187	246	238	249	217	252
Il4	26	30	27	46	38	35
Pxmp4	229	212	236	217	222	214
Dlg3	694	745	824	912	781	751
Gnb1l	107	108	132	161	117	124
Dbh	0	0	0	0	0	0
Mmp11	770	840	969	671	828	908
Smarcb1	800	1062	1232	1028	1206	1147
Vpreb3	0	0	0	0	0	1
Hip1r	491	593	593	705	605	559
Nsun5	212	199	256	251	247	262
Top1mt	87	141	145	208	151	152
Hoxa10	443	444	481	353	423	423
Hoxa4	17	22	29	10	15	19
Gm38393	33	34	29	42	19	21
Mmp14	2692	2863	3045	3673	3074	2978
Slc7a7	77	89	86	147	71	65
Oxa1l	1423	1400	1526	1818	1461	1446
Heatr6	677	954	1000	968	837	952
Ccl3	2	3	3	1	4	1
Wfdc18	0	0	0	0	0	0
Icam4	0	0	0	0	0	0
Ilf2	1391	1302	1685	1189	1518	1625
Chtop	1490	1504	1986	2023	1751	1763
Snapin	499	532	594	636	528	526
S100a4	6	7	12	16	25	37
S100a3	58	49	58	58	66	76
S100a5	0	0	0	0	0	0
S100a6	4675	4152	5420	4166	5740	5947
Scn4a	1	0	0	1	0	0
Icam2	1	0	0	0	0	0
Mapk7	448	471	542	752	472	522
Epn2	2172	1972	2274	3902	2048	2127
B9d1	173	147	142	192	147	163
Sec24b	1282	1893	1782	1705	1577	1746
N4bp3	366	321	412	351	364	349
Rmnd5b	404	375	432	509	427	427
Nhp2	652	609	917	851	923	907
Vps9d1	245	288	263	358	287	286
Zfp276	145	177	198	177	173	194
C1ql4	5	4	6	3	6	9
Mfsd10	433	458	556	619	510	517
Luzp1	1145	1667	1568	1346	1567	1657
Slc13a2	1	2	0	0	1	1
Kctd10	1335	1351	1599	1424	1483	1463
Poldip2	993	1007	1227	1321	1156	1194
Sebox	0	0	0	0	0	0
Ift20	346	266	386	285	320	343
Col6a1	833	622	615	646	596	586
Pcbp3	260	280	303	358	258	252
Lgals9	833	766	837	942	781	812
Araf	503	540	605	738	506	562
Cfp	11	15	17	22	18	13
Timp1	443	327	449	708	394	426
Uxt	67	91	88	95	101	92
Cnnm3	321	351	430	471	379	384
Lman2l	399	385	476	707	440	407
Mcm3ap	725	1094	1114	957	1034	1124
Pcnt	689	1136	1034	890	1022	1046
Ftcd	0	0	1	0	0	0
Mxd1	82	83	110	215	72	92
Gmcl1	351	381	414	432	438	418
Snrnp27	427	391	505	446	474	460
Oas1c	166	134	150	138	137	144
Oas1h	0	0	0	3	0	1
Ocrl	678	934	935	931	842	917
Calm1	3762	4223	5139	4590	4715	4830
Agpat3	1319	1305	1755	1619	1476	1449
Slc26a3	0	0	0	0	0	0
Sema6b	307	356	426	505	395	374
Uhrf1	2503	3393	3986	2604	3615	3719
Dpp9	1016	1448	1539	1292	1394	1435
Ramp2	11	4	12	9	13	13
Lsr	647	602	715	824	684	701
Gramd1a	1134	1003	1168	1114	948	1035
Hpn	0	0	0	0	0	0
Gabrg1	0	0	0	0	0	0
Ckb	289	209	216	231	237	214
Sp1	1707	2423	2529	2387	2326	2419
Itgb7	58	85	101	189	116	112
Myg1	331	315	367	383	338	345
Rarg	1412	1511	1743	1949	1604	1591
Pfdn5	1070	760	925	934	980	996
Efnb2	1867	1874	2042	2481	1795	1859
Rrp15	247	303	396	445	376	389
Rnd2	124	152	165	150	158	134
Srr	150	124	138	248	145	155
Sync	42	60	66	38	66	65
Fndc5	7	8	6	9	3	13
Acp5	203	199	228	379	250	243
Cnn1	2	3	1	1	2	6
Fbxo9	125	117	114	213	108	114
Vps50	355	488	521	496	430	485
Hars	897	969	1333	1091	1215	1185
Zmat2	775	763	971	768	886	889
Ube2c	2568	2597	3028	2185	2878	2928
Smg5	1050	1347	1664	1606	1435	1498
Cct3	4643	4794	6111	4453	5869	5979
Glmp	990	922	1156	1576	1152	1102
Mef2d	1018	1265	1292	1431	1130	1168
Tmem79	389	397	557	436	547	498
Snd1	2380	2288	2490	3159	2423	2513
Col18a1	6757	5087	6117	5657	5652	5698
Slc19a1	227	286	335	446	334	321
Kpnb1	7147	9682	10740	10591	10201	10703
Npepps	2316	2667	3026	2962	2643	2849
Tbx21	2	0	0	0	0	1
Mrpl10	710	770	936	834	852	828
Cyp51	1356	1450	1546	632	1403	1373
Tcf25	2707	3075	3578	4111	3379	3464
Tubb6	2178	2351	3231	1934	3040	3023
Def8	369	456	544	548	544	579
Meox1	0	1	0	0	0	0
Sost	0	0	0	0	0	0
Nkx2-1	0	0	0	0	0	0
Pax9	0	0	0	0	0	0
Irx2	906	981	1225	1507	1114	1171
Col1a1	119	40	38	73	45	65
Itga3	16216	16696	18682	27978	18374	18733
Sgca	1	1	0	2	0	2
Dlx3	5	2	4	7	1	4
Foxm1	1781	2503	2515	2156	2249	2417
Itfg2	86	121	114	208	144	128
Nrip2	2	3	2	2	1	0
Tulp3	710	847	912	890	841	853
Gtf2h4	318	320	446	385	390	433
Tubb5	28620	28538	33674	32126	32783	32892
Ell2	592	616	699	741	554	661
Jup	3143	3243	3329	4782	3314	3292
Fkbp10	2	3	1	1	2	2
Klhl10	6	3	9	9	4	5
Mnx1	0	0	0	0	0	0
Nom1	476	633	760	768	677	655
Ergic1	2132	2345	2513	3423	2300	2348
Tnk1	242	232	301	384	233	267
Acap1	309	312	365	1407	330	327
Tcea3	289	191	221	210	202	181
Csn3	34	14	21	174	24	18
Ifrd1	953	749	764	1627	952	819
Stk38l	194	222	219	299	225	206
Brpf1	365	511	501	572	482	494
Akr1b3	1115	1329	1576	1513	1466	1503
Hoxc13	0	0	0	0	0	0
Hoxc11	0	0	0	0	0	0
Hoxc8	0	0	0	0	0	0
Hoxc6	3	1	4	4	1	5
Gstt1	63	29	35	71	36	33
Gstt3	257	223	268	296	211	223
Ddt	77	65	83	112	81	80
Tat	0	0	1	0	0	0
Marveld3	209	192	247	331	177	193
Ddx18	756	930	1091	1005	1032	985
Ubl3	818	738	842	1229	745	816
Gramd3	132	146	154	192	177	140
Eef1e1	304	341	431	357	409	395
Akt1	4000	4536	5363	4787	5071	5171
Cldn15	0	0	0	0	0	0
Il16	0	0	0	0	0	0
Tcirg1	1311	1253	1380	1667	1168	1262
Naglu	390	308	356	834	393	379
Coasy	814	778	994	960	921	962
Smo	1473	1710	2037	1223	1872	2054
Tspan33	10	15	17	31	18	14
Crnkl1	566	626	720	618	665	610
Rin2	1090	1070	1067	1315	922	958
Folh1	0	0	0	0	0	0
Chordc1	895	978	1109	1071	957	997
Rtcb	2161	2156	2601	2624	2574	2472
Pwp1	532	544	771	888	718	727
Fbxo7	314	365	386	448	350	353
Capns1	2870	3072	3323	3712	3269	3214
Lrp3	1	0	0	0	0	0
Dsg4	0	0	3	0	0	0
Evx2	0	0	0	0	0	0
Hoxd13	0	0	0	0	0	0
Hoxd12	0	0	0	0	0	0
Folr1	0	1	0	0	0	0
Clpb	750	885	1095	1035	995	939
Septin7	3857	4132	4556	3415	4264	4355
Zdhhc4	108	96	130	197	126	129
Rac1	5088	5675	6282	6185	5995	6081
Nup214	589	952	912	891	871	929
Aif1l	626	558	694	516	592	626
Cpa3	0	0	0	0	0	0
Ltbp1	3669	3909	4043	5972	3943	3822
Ugp2	915	908	1095	1279	1060	1038
Kcnh6	0	0	0	0	0	2
Trmt1	1005	1111	1263	1514	1156	1208
Nacc1	2840	3645	3898	3909	3600	3791
Nfix	4465	5902	5972	5955	5822	5881
Slc1a5	746	837	1044	1607	997	1001
Uba1	6280	7383	8380	8193	7808	8140
Vwf	0	2	0	2	0	2
Siae	1252	1349	1421	1199	1428	1370
Vsig2	0	0	0	0	0	0
Esam	3	2	1	0	1	2
Spa17	31	32	41	39	39	31
Fam50a	501	495	552	848	621	544
Emd	773	723	882	973	850	817
Taco1	153	140	174	196	161	165
Grik3	0	0	0	0	0	0
Gria3	0	0	0	0	0	0
Npas1	6	5	1	6	1	4
Sipa1l2	172	201	181	463	179	182
Ap4e1	227	351	298	303	282	305
Blvra	322	343	426	311	383	387
Pdzd4	150	169	183	136	185	166
Srpk3	0	0	1	0	0	0
Idh3g	1112	1194	1438	1534	1373	1333
Pnck	14	11	15	1	9	8
Ssr4	637	396	542	790	522	609
Bcap31	1285	1063	1337	1430	1196	1246
Fam98a	562	630	773	604	686	705
Ltbp2	3259	3443	3549	3863	3435	3531
Kmt2a	1551	2548	1909	2196	1832	2199
Ift46	716	754	882	1192	744	846
Tmem25	23	18	35	33	26	37
Cd3g	0	0	0	0	0	0
Trappc6a	504	320	477	589	440	468
Supt6	1955	2377	2458	2846	2346	2311
Spag5	1947	2363	2509	1537	2318	2338
Foxn1	27	22	22	6	26	22
Unc119	505	421	508	393	449	415
Rab34	1155	1067	1450	1568	1373	1431
Sdf2	704	468	599	700	608	598
Ccne1	93	116	144	104	107	118
Hsf2bp	12	15	20	15	19	25
Bbc3	182	178	201	373	204	222
Mybpc3	29	33	27	13	13	10
Psmc3	1938	2123	2682	2184	2466	2407
Acp2	237	276	306	461	309	282
Rapsn	36	53	69	76	59	64
Slc39a13	651	772	866	846	752	814
Celf2	915	1376	1314	1246	1227	1362
Nr1h3	11	15	12	25	18	22
Ddb2	238	243	241	264	219	215
Spi1	1	2	2	1	1	1
Sf3a1	1841	2254	2291	2513	2173	2221
Stat6	1325	1717	1923	1863	1810	1884
Clgn	1	1	0	0	0	0
Napsa	12	2	4	7	2	6
Vrk3	455	494	585	589	559	601
Smg9	355	372	415	548	391	429
Paxip1	565	734	855	563	711	751
Rmnd5a	1078	1352	1349	1372	1254	1394
Mov10	1538	2085	2189	1514	2058	2035
Ppm1j	414	354	391	541	401	409
Rhoc	3668	3117	3945	4816	3763	3796
Prr27	0	0	0	0	0	0
Tead3	345	357	379	398	336	346
Ppard	928	1030	1079	1850	1028	1036
Def6	128	131	159	146	148	160
Peg3	0	0	0	0	0	0
Zim1	0	0	0	0	0	1
Metrn	634	607	769	781	767	788
Lmf1	262	269	264	300	257	283
Ciao3	279	268	299	373	300	288
Angptl4	4	3	3	3	3	7
Dbf4	1761	2163	2419	2185	2077	2125
Daxx	508	556	631	982	552	563
Cd320	119	109	141	197	159	150
Ipo4	286	362	405	678	386	375
Tm9sf1	499	516	623	738	579	628
Rec8	0	0	0	0	1	0
Irf9	419	341	376	1009	392	355
Gmpr2	129	124	193	145	157	136
Mdp1	345	284	362	508	337	342
Dhrs1	824	870	1044	1076	945	1011
Ncan	6	5	4	6	3	2
Tmem161a	499	512	660	768	623	603
Armc6	67	68	92	96	95	107
Borcs8	252	247	311	290	275	241
Slc25a42	117	146	132	155	107	98
Snx9	1979	2183	2386	3180	2250	2344
Ranbp3	1044	1158	1467	1397	1269	1351
Ndufa11	353	351	411	478	471	424
Bmp8b	0	2	0	1	0	0
Nr2f6	494	399	562	565	548	521
Use1	640	439	516	765	530	604
Ocel1	88	103	147	130	113	138
Dyrk1b	166	270	256	308	233	246
Braf	330	531	519	514	471	512
Ndufb2	14	21	10	33	38	29
Hltf	874	1039	1106	908	979	1044
Prpf6	1408	1469	1559	2113	1596	1460
Rgs19	470	551	590	621	581	602
Rgs20	58	77	75	103	54	67
Abhd3	49	32	34	38	25	43
Snrpd1	1014	1051	1311	828	1259	1217
Tchp	73	99	114	114	100	95
Tiam1	295	488	416	992	451	434
Tsc2	703	985	971	1431	889	963
Rpl3l	1	0	2	0	2	1
Slc9a3r2	413	434	425	487	403	424
Puf60	1068	1170	1456	1224	1341	1349
Golga2	1319	1417	1536	1557	1400	1505
Uck1	467	438	523	545	422	444
Scin	302	297	324	438	328	309
Ikzf4	0	1	1	2	1	4
Mien1	71	56	68	80	72	115
Pon1	0	0	0	0	0	0
Axl	10876	12162	13964	13432	12991	13425
Tgfb1	1235	1233	1365	1569	1325	1291
Ccdc97	487	569	595	701	566	552
Zfp40	30	42	34	40	31	34
Akap8l	809	820	924	1100	768	740
Shh	0	0	0	0	0	0
Pdcd2l	237	187	254	247	227	261
Gtf2f1	1151	1196	1520	1727	1355	1427
Clpp	440	412	523	915	547	523
Alkbh7	123	97	124	208	140	142
Pspn	0	0	0	3	3	1
Dennd1c	11	9	10	46	16	12
Med6	286	254	324	230	270	324
Prkd1	0	1	0	0	0	0
Lcp2	0	0	0	0	0	0
Cse1l	1917	2511	2841	1612	2590	2701
Naa20	630	613	758	808	703	717
Prkra	656	484	545	579	551	537
Fkbp7	112	104	133	102	105	107
Plekha3	485	541	576	657	573	573
Ykt6	702	796	956	975	890	868
Baz1b	2731	3614	3757	3395	3695	3689
Pex6	795	753	962	1244	907	967
Mrpl2	748	744	939	1056	936	951
Mea1	461	373	512	679	501	542
Gnmt	8	7	5	5	8	6
Grin2d	8	16	15	9	14	11
Kdelr1	1250	1264	1468	1475	1348	1392
Tmem143	153	174	215	180	214	195
Pdxk-ps	1	2	3	5	3	0
Ggct	70	74	92	189	84	89
Jag2	301	292	351	225	364	344
Btbd6	80	97	121	140	107	125
Nudt14	276	267	336	308	294	312
Epdr1	65	89	109	110	82	107
Flii	2837	3368	3624	3892	3400	3529
Top3a	282	327	343	436	320	355
Atg4d	245	192	243	235	216	251
Qtrt1	190	193	240	381	234	234
Plin4	1	4	4	3	5	0
Hdgfl2	1082	1097	1437	1491	1233	1347
Chaf1a	1227	1664	1925	1532	1721	1777
Adprh	584	529	600	945	641	681
Tmem39a	405	380	460	635	372	429
Timmdc1	296	297	377	504	337	336
Pla1a	113	91	122	386	96	105
Mcm2	2097	2563	3077	1826	2836	3052
Tpra1	622	698	779	775	734	685
Nab1	1105	1292	1438	2180	1283	1373
Adgre5	54	51	61	172	54	55
Il17ra	616	554	554	955	504	523
Lamb1	9038	8966	8961	15288	8761	8848
Kcnn1	65	60	58	84	70	68
Arrdc2	293	252	289	374	260	258
Ppp1r17	0	0	0	0	0	0
Cd36	13	14	9	8	2	9
Map2k7	286	322	394	398	349	387
Timm44	941	1015	1194	1052	1042	1159
Ap2a2	1661	2251	2406	2055	2268	2232
Pnkp	426	394	511	581	453	469
Med25	813	1019	1201	1154	1122	1169
Bcam	428	292	346	274	268	274
Clptm1	1054	1125	1297	1545	1211	1258
Relb	311	303	409	637	376	405
Tomm40	604	655	899	883	855	853
Apoe	12	14	28	21	19	18
Apoc2	0	0	0	0	0	0
Hbp1	623	640	723	718	637	615
Prkar2b	1214	1510	1737	1347	1461	1497
Cdkn1b	2609	2350	2860	2489	2425	2480
Klf4	219	166	187	529	154	161
Ap1m1	441	521	625	653	599	569
Rab8a	1020	1001	1233	1180	1136	1218
Hmgn2	326	304	441	277	412	474
Fam32a	796	843	1035	1211	994	983
Elf3	1011	868	1070	958	976	986
Cyp2c29	0	0	0	0	0	0
Stard3nl	368	291	389	472	397	443
Stk11	1441	1583	1911	1819	1684	1822
Efna2	33	51	61	23	59	54
Atp5d	3009	2634	3406	3301	3562	3619
Ppp5c	533	639	774	631	669	713
Cdk12	408	643	606	690	589	587
Lipe	274	238	291	345	256	233
Pafah1b2	1979	2242	2545	2317	2409	2430
Tbc1d8	131	128	155	165	137	129
Cnot11	386	448	548	615	515	493
Slc2a3	2	4	6	1	1	1
Foxj2	574	650	682	599	596	648
Sri	1092	1030	1290	1107	1214	1312
Dgcr2	549	659	812	816	729	764
Irf3	431	386	503	583	447	449
Bcl2l12	65	66	74	83	63	67
Zfp959	47	56	70	87	63	63
Mpnd	1315	1142	1449	2026	1415	1328
Sh3gl1	1050	923	1162	1254	1087	1208
Ebi3	4	3	4	1	1	3
Yju2	132	122	171	134	151	181
Ranbp2	2155	3059	2847	2413	2590	2884
Edar	0	0	0	0	0	1
Grk5	116	151	136	109	120	127
Dvl3	508	693	632	872	675	612
Abcf3	534	551	682	935	630	624
Eif2b5	1005	1161	1446	1230	1357	1276
Cyth2	665	647	758	977	701	714
Sult2b1	74	102	104	164	92	97
Car11	0	0	2	2	4	0
Dlgap1	21	17	15	56	7	12
Plag1	75	95	62	157	65	91
Hck	2	0	1	0	0	1
Mrpl4	646	637	787	662	786	800
Keap1	679	702	862	641	782	830
Ap1m2	177	141	137	119	126	134
Glg1	5298	6367	6391	7592	6221	6496
Atp8b3	11	16	14	18	14	9
Btbd2	1256	1017	1113	1288	1168	1135
Csnk1g2	2363	2479	2995	3001	2664	2776
Abhd17a	792	660	963	1085	914	931
Mob3a	249	238	313	325	270	260
Cacnb3	1013	1050	1228	1303	1069	1131
Ccdc65	33	29	26	17	33	24
Fkbp11	412	277	345	455	368	353
Ddx23	1133	1327	1603	1428	1367	1478
Pld3	569	556	562	769	585	539
Grik5	725	780	842	735	712	832
Cd79a	1	2	0	1	0	2
Rabac1	903	675	896	1076	796	860
Etv3	506	544	570	724	585	581
Prkcsh	2357	2047	2406	2856	2474	2299
Elavl3	0	1	0	0	2	0
Rab3b	1	1	1	1	0	1
St8sia6	0	0	0	1	0	0
Fcgrt	10	9	6	8	2	9
Nosip	496	545	610	562	566	583
Pih1d1	279	307	363	417	412	384
Rps11	3728	2917	3874	4337	4228	4241
Supt5	2053	2110	2439	2740	2225	2213
Dll3	0	0	0	0	0	0
Paf1	556	551	641	585	604	627
Timm50	604	622	789	641	797	805
Med29	99	122	118	142	147	129
Bicd1	72	74	83	100	74	46
Ncstn	1050	1280	1387	1730	1214	1212
Pex19	790	702	929	839	810	907
Phyhip	4	1	3	2	1	2
Crhr2	0	0	1	0	0	0
Inmt	7	0	0	2	0	2
Cyp4f18	0	0	0	0	0	0
Impdh1	385	508	613	609	509	515
Psg18	0	0	0	0	0	0
Dusp3	379	466	552	550	517	516
Prodh	147	219	243	239	207	227
Ess2	392	378	471	505	450	451
Slc25a1	995	987	1152	1068	1089	1138
Dgcr6	416	345	402	413	458	436
Ddr1	1346	1249	1496	1942	1459	1381
Ier3	3069	2775	3533	4798	3194	3149
Fosb	99	71	75	113	63	62
Klc4	305	275	306	414	286	261
Ercc1	1052	771	903	1821	839	903
Cyp17a1	0	0	0	0	0	0
As3mt	85	82	110	54	83	104
Homer3	225	241	296	275	238	256
Crtc1	122	186	197	311	224	207
Rnf215	141	128	180	234	156	160
Sec14l2	138	141	189	255	171	150
Aven	42	59	103	77	79	86
Cp	3041	2305	2204	5310	1910	2003
Crot	904	783	950	841	774	849
Rps6ka1	1017	1203	1353	1272	1236	1216
Calb2	0	0	1	0	1	0
Snrnp200	2740	3813	3755	4000	3549	3624
Ciao1	616	541	686	567	608	627
Has1	5	7	0	1	3	0
Taf6l	235	234	306	262	275	319
Insig2	1125	959	1060	1270	947	994
Kpna6	1437	1791	1907	1730	1763	1798
Man1a	723	718	746	1582	676	744
Itpkc	87	91	116	112	97	98
Coq8b	92	99	122	96	104	111
Brd8	883	1111	1158	1056	1090	1123
Kif20a	1960	2282	2547	1597	2345	2339
Farsa	866	1003	1160	903	1164	1179
Gcdh	292	283	345	388	348	346
Mast2	1156	1720	1632	1982	1522	1625
Dnase2a	174	184	218	239	203	178
Rad23a	805	862	1011	1212	968	984
Calr	5770	5483	6755	6602	5968	5983
Syce2	3	1	2	4	3	3
Nfat5	1925	2655	2090	3988	1904	2084
Nob1	760	808	1037	1356	930	932
Nqo1	276	338	442	166	345	331
Ppfia3	164	162	185	151	180	162
Gys1	543	739	854	1036	816	815
Ruvbl2	1441	1660	2232	1649	2053	2073
Lin7b	2	3	2	3	6	2
Bax	365	376	504	613	476	518
Il7r	0	0	0	0	0	0
Tfam	720	750	839	766	856	829
Zfp81	465	545	553	603	459	524
Efnb3	9	7	7	7	8	5
Mmd	1148	1194	1240	2244	1269	1136
Hlf	23	10	19	65	14	12
Fam162a	1025	921	1235	1522	1379	1299
Rpl8	10068	8603	11317	10343	11413	11771
Grm3	0	0	0	0	0	0
Ssbp2	357	336	378	332	339	331
Fancl	217	277	327	277	318	287
Brinp2	0	0	1	0	0	0
Gstm5	233	195	205	251	204	193
Gstm7	3	3	1	9	2	1
Gstm3	1	0	1	0	0	0
Stat3	1300	1313	1400	2283	1299	1225
Stat5a	505	505	472	476	480	467
Cavin1	6544	7178	8616	5460	8106	8023
Map3k11	439	577	648	584	601	623
Akt2	1347	1442	1610	1886	1532	1575
Dnaja3	766	806	967	1542	943	906
Hmox2	556	528	627	678	611	584
Cdip1	266	264	296	389	276	319
Map3k20	2561	3205	3256	3905	2985	3111
Cwc15	1129	1121	1362	1613	1235	1268
Col5a3	2	2	2	5	3	1
Dnmt1	4600	5959	5950	4687	5779	5963
Ppan	403	489	558	513	537	592
Angptl2	1071	1079	1197	1390	1105	1097
Cacna1e	0	0	0	0	0	0
Cacna1b	1	6	2	3	1	5
Trmt10a	221	233	277	338	260	265
Etv1	700	675	681	1342	618	673
Kifc2	36	36	53	53	22	26
Psap	8286	7558	8626	9280	8306	8376
Ikbkg	514	573	651	622	661	628
Pax2	0	0	0	0	0	0
Wars2	139	150	199	211	182	193
Atn1	99	107	112	127	145	127
Phb2	2059	1906	2485	2278	2342	2455
Ptpn6	374	387	456	381	434	410
Eno2	355	333	390	605	372	416
Emg1	796	691	957	913	913	940
Lpcat3	408	486	504	616	451	470
Atp6v1f	624	485	679	685	669	679
Il12b	0	0	0	0	0	0
Clcn5	400	562	573	1091	544	573
Clcn3	1252	1519	1698	2267	1558	1661
Hif3a	0	0	0	0	0	0
Gpx6	0	0	0	0	0	0
Gpx5	0	0	0	0	0	0
Pde1c	1	1	0	1	1	1
Utp20	547	1131	1068	1233	1076	1187
Spic	0	0	0	0	0	0
9330159F19Rik	2	1	0	0	0	1
Cul3	1706	2260	2256	2758	2006	2090
Sst	0	0	0	0	1	0
Il11	9	10	9	20	9	8
Large1	284	260	331	342	282	293
Ddx56	671	666	918	946	823	864
Tmed4	1168	861	1148	1350	994	1104
Col26a1	0	0	0	0	0	0
Bid	666	637	763	878	650	658
Ralb	1074	1148	1317	1338	1118	1153
Ppp1cc	2139	2044	2511	2428	2356	2451
Dnajb11	510	483	625	740	563	557
Tbccd1	218	208	257	279	192	213
Clec11a	13	10	18	18	14	17
Zfp324	113	114	106	140	121	109
Gab2	288	294	336	287	293	303
Coro1c	2631	2795	3313	2962	2962	3011
Tax1bp1	1728	1912	2105	2023	1831	1915
Psg17	35	34	29	93	23	23
Psg19	4	1	1	6	0	0
Ctse	0	0	0	1	0	0
