	R7	R8	R9	R1	R2	R3
Oprm1	0	0	0	0	0	0
Polr3d	310	280	265	331	255	288
Tcf7	449	413	409	291	320	316
Ddx3x	3935	4088	4188	4439	3595	3634
Il12rb1	127	105	92	152	127	114
Slc5a5	23	27	20	15	23	28
Kcnn3	5	1	1	2	2	1
Usp32	1291	1184	1130	1273	967	998
Car4	1	0	1	0	0	1
Txnrd3	169	142	145	124	134	137
Fasl	1	0	0	2	0	0
Zfp512b	332	372	311	416	237	232
Dnajc5	1704	1621	1624	1723	1508	1545
Tpd52l2	1495	1376	1392	1298	1103	1154
Fmr1	1839	1910	2002	1346	1569	1602
Bcl11a	285	253	276	249	217	252
Il4	42	46	39	46	38	35
Pxmp4	296	243	244	217	222	214
Dlg3	849	840	784	912	781	751
Gnb1l	143	131	140	161	117	124
Dbh	0	0	0	0	0	0
Mmp11	1133	1052	1039	671	828	908
Smarcb1	1352	1376	1359	1028	1206	1147
Vpreb3	0	0	0	0	0	1
Hip1r	910	833	823	705	605	559
Nsun5	344	355	381	251	247	262
Top1mt	181	159	188	208	151	152
Hoxa10	455	456	490	353	423	423
Hoxa4	20	33	21	10	15	19
Gm38393	24	26	29	42	19	21
Mmp14	4478	4169	4376	3673	3074	2978
Slc7a7	102	97	100	147	71	65
Oxa1l	1907	1720	1782	1818	1461	1446
Heatr6	1169	1124	1110	968	837	952
Ccl3	3	0	2	1	4	1
Wfdc18	0	1	0	0	0	0
Icam4	0	0	0	0	0	0
Ilf2	1621	1656	1655	1189	1518	1625
Chtop	2095	2068	2079	2023	1751	1763
Snapin	605	607	600	636	528	526
S100a4	3	10	13	16	25	37
S100a3	77	64	65	58	66	76
S100a5	0	0	0	0	0	0
S100a6	4607	5035	4629	4166	5740	5947
Scn4a	0	0	0	1	0	0
Icam2	0	0	0	0	0	0
Mapk7	793	757	815	752	472	522
Epn2	2650	2709	2614	3902	2048	2127
B9d1	152	165	151	192	147	163
Sec24b	2326	2173	2263	1705	1577	1746
N4bp3	527	525	548	351	364	349
Rmnd5b	488	559	561	509	427	427
Nhp2	1066	1009	1108	851	923	907
Vps9d1	375	349	381	358	287	286
Zfp276	258	247	266	177	173	194
C1ql4	6	7	5	3	6	9
Mfsd10	560	572	568	619	510	517
Luzp1	2295	2189	2087	1346	1567	1657
Slc13a2	0	1	0	0	1	1
Kctd10	2259	2148	2163	1424	1483	1463
Poldip2	1282	1293	1295	1321	1156	1194
Sebox	0	0	1	0	0	0
Ift20	380	382	369	285	320	343
Col6a1	452	460	441	646	596	586
Pcbp3	316	282	293	358	258	252
Lgals9	1149	825	846	942	781	812
Araf	619	646	642	738	506	562
Cfp	8	20	12	22	18	13
Timp1	397	374	391	708	394	426
Uxt	95	75	91	95	101	92
Cnnm3	594	587	580	471	379	384
Lman2l	545	494	478	707	440	407
Mcm3ap	1108	1151	1135	957	1034	1124
Pcnt	1040	1164	1098	890	1022	1046
Ftcd	0	0	0	0	0	0
Mxd1	95	90	90	215	72	92
Gmcl1	535	463	513	432	438	418
Snrnp27	529	523	451	446	474	460
Oas1c	204	173	158	138	137	144
Oas1h	1	1	0	3	0	1
Ocrl	995	942	957	931	842	917
Calm1	4323	4229	4435	4590	4715	4830
Agpat3	1709	1709	1799	1619	1476	1449
Slc26a3	0	0	0	0	0	0
Sema6b	311	354	341	505	395	374
Uhrf1	3124	3164	3221	2604	3615	3719
Dpp9	1735	1551	1708	1292	1394	1435
Ramp2	14	21	22	9	13	13
Lsr	826	788	799	824	684	701
Gramd1a	1282	1293	1308	1114	948	1035
Hpn	0	0	0	0	0	0
Gabrg1	0	0	0	0	0	0
Ckb	148	138	118	231	237	214
Sp1	3094	3165	3011	2387	2326	2419
Itgb7	102	100	115	189	116	112
Myg1	476	484	427	383	338	345
Rarg	2027	1882	1885	1949	1604	1591
Pfdn5	1114	1036	943	934	980	996
Efnb2	2206	1882	1816	2481	1795	1859
Rrp15	403	394	408	445	376	389
Rnd2	181	169	181	150	158	134
Srr	203	169	165	248	145	155
Sync	69	55	57	38	66	65
Fndc5	3	15	11	9	3	13
Acp5	230	204	240	379	250	243
Cnn1	3	4	5	1	2	6
Fbxo9	146	149	162	213	108	114
Vps50	627	600	628	496	430	485
Hars	1260	1188	1237	1091	1215	1185
Zmat2	920	950	948	768	886	889
Ube2c	2685	2586	2494	2185	2878	2928
Smg5	2634	2525	2606	1606	1435	1498
Cct3	6401	6223	6466	4453	5869	5979
Glmp	1326	1347	1288	1576	1152	1102
Mef2d	1668	1623	1660	1431	1130	1168
Tmem79	617	596	599	436	547	498
Snd1	2766	2432	2497	3159	2423	2513
Col18a1	5402	4899	4741	5657	5652	5698
Slc19a1	333	386	382	446	334	321
Kpnb1	11174	10990	11273	10591	10201	10703
Npepps	3261	3072	3188	2962	2643	2849
Tbx21	1	0	0	0	0	1
Mrpl10	1005	1041	1049	834	852	828
Cyp51	943	916	893	632	1403	1373
Tcf25	3808	3731	3636	4111	3379	3464
Tubb6	2234	2098	2039	1934	3040	3023
Def8	555	552	560	548	544	579
Meox1	0	0	0	0	0	0
Sost	0	0	0	0	0	0
Nkx2-1	0	0	0	0	0	0
Pax9	0	0	0	0	0	0
Irx2	1480	1344	1414	1507	1114	1171
Col1a1	221	118	203	73	45	65
Itga3	20262	19918	19890	27978	18374	18733
Sgca	1	1	1	2	0	2
Dlx3	3	6	4	7	1	4
Foxm1	2572	2432	2486	2156	2249	2417
Itfg2	174	191	174	208	144	128
Nrip2	0	2	0	2	1	0
Tulp3	1030	901	916	890	841	853
Gtf2h4	471	464	457	385	390	433
Tubb5	32072	30547	30490	32126	32783	32892
Ell2	804	748	722	741	554	661
Jup	3793	3820	3655	4782	3314	3292
Fkbp10	2	2	0	1	2	2
Klhl10	9	6	7	9	4	5
Mnx1	0	0	0	0	0	0
Nom1	853	916	930	768	677	655
Ergic1	2721	2668	2727	3423	2300	2348
Tnk1	321	313	311	384	233	267
Acap1	304	317	299	1407	330	327
Tcea3	341	306	297	210	202	181
Csn3	17	11	11	174	24	18
Ifrd1	1397	1293	1320	1627	952	819
Stk38l	323	319	290	299	225	206
Brpf1	748	713	760	572	482	494
Akr1b3	1503	1538	1421	1513	1466	1503
Hoxc13	0	0	0	0	0	0
Hoxc11	0	0	0	0	0	0
Hoxc8	0	0	0	0	0	0
Hoxc6	1	2	3	4	1	5
Gstt1	37	28	24	71	36	33
Gstt3	244	242	208	296	211	223
Ddt	56	58	44	112	81	80
Tat	0	0	0	0	0	0
Marveld3	239	260	264	331	177	193
Ddx18	1229	1204	1257	1005	1032	985
Ubl3	769	747	690	1229	745	816
Gramd3	231	232	211	192	177	140
Eef1e1	409	407	425	357	409	395
Akt1	5312	4884	4928	4787	5071	5171
Cldn15	1	3	0	0	0	0
Il16	1	2	1	0	0	0
Tcirg1	1884	1766	1719	1667	1168	1262
Naglu	455	437	434	834	393	379
Coasy	1199	1215	1159	960	921	962
Smo	2003	1974	2016	1223	1872	2054
Tspan33	20	20	32	31	18	14
Crnkl1	794	841	875	618	665	610
Rin2	1265	1271	1292	1315	922	958
Folh1	0	0	0	0	0	0
Chordc1	1134	1166	1176	1071	957	997
Rtcb	3222	3160	3117	2624	2574	2472
Pwp1	913	871	892	888	718	727
Fbxo7	447	458	401	448	350	353
Capns1	3537	3303	3342	3712	3269	3214
Lrp3	0	0	1	0	0	0
Dsg4	1	0	0	0	0	0
Evx2	0	0	0	0	0	0
Hoxd13	0	0	0	0	0	0
Hoxd12	0	0	0	0	0	0
Folr1	0	0	0	0	0	0
Clpb	1121	1024	1000	1035	995	939
Septin7	4453	4305	4319	3415	4264	4355
Zdhhc4	165	154	174	197	126	129
Rac1	6511	6225	6347	6185	5995	6081
Nup214	1074	1105	1060	891	871	929
Aif1l	795	629	662	516	592	626
Cpa3	1	0	0	0	0	0
Ltbp1	3211	3179	3019	5972	3943	3822
Ugp2	1195	1106	1064	1279	1060	1038
Kcnh6	0	1	0	0	0	2
Trmt1	1621	1603	1675	1514	1156	1208
Nacc1	4616	4482	4397	3909	3600	3791
Nfix	7058	7254	7319	5955	5822	5881
Slc1a5	1129	1115	1081	1607	997	1001
Uba1	7518	7353	7359	8193	7808	8140
Vwf	0	2	1	2	0	2
Siae	1439	1390	1358	1199	1428	1370
Vsig2	0	0	1	0	0	0
Esam	2	4	4	0	1	2
Spa17	25	28	20	39	39	31
Fam50a	819	736	748	848	621	544
Emd	1155	1133	1143	973	850	817
Taco1	227	255	234	196	161	165
Grik3	0	0	0	0	0	0
Gria3	0	0	0	0	0	0
Npas1	3	2	5	6	1	4
Sipa1l2	277	273	264	463	179	182
Ap4e1	398	419	382	303	282	305
Blvra	426	372	369	311	383	387
Pdzd4	222	192	218	136	185	166
Srpk3	2	0	1	0	0	0
Idh3g	1353	1356	1330	1534	1373	1333
Pnck	12	13	9	1	9	8
Ssr4	666	601	572	790	522	609
Bcap31	1539	1461	1500	1430	1196	1246
Fam98a	810	794	823	604	686	705
Ltbp2	3130	2978	2853	3863	3435	3531
Kmt2a	2423	2960	2170	2196	1832	2199
Ift46	1150	1181	1103	1192	744	846
Tmem25	58	53	48	33	26	37
Cd3g	0	0	0	0	0	0
Trappc6a	604	531	567	589	440	468
Supt6	3141	3202	3111	2846	2346	2311
Spag5	2471	2546	2590	1537	2318	2338
Foxn1	43	31	25	6	26	22
Unc119	647	579	578	393	449	415
Rab34	1604	1574	1546	1568	1373	1431
Sdf2	642	691	660	700	608	598
Ccne1	166	190	172	104	107	118
Hsf2bp	22	23	19	15	19	25
Bbc3	195	195	247	373	204	222
Mybpc3	40	38	33	13	13	10
Psmc3	2710	2663	2699	2184	2466	2407
Acp2	360	333	376	461	309	282
Rapsn	54	65	67	76	59	64
Slc39a13	771	708	744	846	752	814
Celf2	1286	1112	1171	1246	1227	1362
Nr1h3	7	9	16	25	18	22
Ddb2	330	321	296	264	219	215
Spi1	2	0	1	1	1	1
Sf3a1	2957	2978	3151	2513	2173	2221
Stat6	2069	2173	2155	1863	1810	1884
Clgn	0	0	0	0	0	0
Napsa	6	2	2	7	2	6
Vrk3	581	568	579	589	559	601
Smg9	518	555	564	548	391	429
Paxip1	839	823	809	563	711	751
Rmnd5a	1866	1799	1837	1372	1254	1394
Mov10	2362	2161	2117	1514	2058	2035
Ppm1j	544	511	450	541	401	409
Rhoc	4844	4789	4733	4816	3763	3796
Prr27	0	0	0	0	0	0
Tead3	363	340	365	398	336	346
Ppard	1012	1106	1094	1850	1028	1036
Def6	160	152	140	146	148	160
Peg3	1	0	0	0	0	0
Zim1	0	0	0	0	0	1
Metrn	859	786	724	781	767	788
Lmf1	359	356	394	300	257	283
Ciao3	392	370	375	373	300	288
Angptl4	17	26	27	3	3	7
Dbf4	2202	2218	2237	2185	2077	2125
Daxx	1048	954	876	982	552	563
Cd320	174	176	181	197	159	150
Ipo4	428	430	417	678	386	375
Tm9sf1	716	741	757	738	579	628
Rec8	0	0	0	0	1	0
Irf9	898	802	728	1009	392	355
Gmpr2	180	156	164	145	157	136
Mdp1	532	487	479	508	337	342
Dhrs1	760	795	801	1076	945	1011
Ncan	2	2	2	6	3	2
Tmem161a	848	948	831	768	623	603
Armc6	130	141	119	96	95	107
Borcs8	258	323	284	290	275	241
Slc25a42	164	179	154	155	107	98
Snx9	2915	2997	2885	3180	2250	2344
Ranbp3	1613	1593	1657	1397	1269	1351
Ndufa11	408	426	416	478	471	424
Bmp8b	2	0	0	1	0	0
Nr2f6	558	649	578	565	548	521
Use1	663	668	629	765	530	604
Ocel1	115	126	101	130	113	138
Dyrk1b	270	273	246	308	233	246
Braf	665	640	589	514	471	512
Ndufb2	21	24	22	33	38	29
Hltf	1155	1135	1123	908	979	1044
Prpf6	2022	1995	2071	2113	1596	1460
Rgs19	694	607	688	621	581	602
Rgs20	92	81	75	103	54	67
Abhd3	64	69	50	38	25	43
Snrpd1	1245	1233	1207	828	1259	1217
Tchp	166	154	138	114	100	95
Tiam1	506	533	485	992	451	434
Tsc2	1017	1067	1002	1431	889	963
Rpl3l	1	0	0	0	2	1
Slc9a3r2	639	590	568	487	403	424
Puf60	1538	1607	1566	1224	1341	1349
Golga2	1811	1761	1775	1557	1400	1505
Uck1	677	662	623	545	422	444
Scin	252	251	259	438	328	309
Ikzf4	5	3	2	2	1	4
Mien1	84	68	68	80	72	115
Pon1	0	0	0	0	0	0
Axl	13015	12037	12058	13432	12991	13425
Tgfb1	1397	1308	1299	1569	1325	1291
Ccdc97	677	635	645	701	566	552
Zfp40	32	44	38	40	31	34
Akap8l	1165	1143	1158	1100	768	740
Shh	0	0	0	0	0	0
Pdcd2l	353	294	293	247	227	261
Gtf2f1	1726	1790	1744	1727	1355	1427
Clpp	647	586	646	915	547	523
Alkbh7	156	140	144	208	140	142
Pspn	2	1	0	3	3	1
Dennd1c	28	31	27	46	16	12
Med6	349	357	338	230	270	324
Prkd1	0	0	0	0	0	0
Lcp2	0	0	0	0	0	0
Cse1l	2824	2725	2670	1612	2590	2701
Naa20	1139	1017	975	808	703	717
Prkra	658	587	587	579	551	537
Fkbp7	117	93	97	102	105	107
Plekha3	684	628	665	657	573	573
Ykt6	1412	1308	1299	975	890	868
Baz1b	4548	4838	4846	3395	3695	3689
Pex6	1251	1147	1197	1244	907	967
Mrpl2	1136	1137	1200	1056	936	951
Mea1	619	617	647	679	501	542
Gnmt	7	10	4	5	8	6
Grin2d	13	15	12	9	14	11
Kdelr1	1577	1488	1450	1475	1348	1392
Tmem143	193	265	214	180	214	195
Pdxk-ps	1	2	0	5	3	0
Ggct	92	83	94	189	84	89
Jag2	505	489	512	225	364	344
Btbd6	188	193	160	140	107	125
Nudt14	302	272	256	308	294	312
Epdr1	102	101	87	110	82	107
Flii	3686	3632	3767	3892	3400	3529
Top3a	468	494	504	436	320	355
Atg4d	231	231	223	235	216	251
Qtrt1	270	313	315	381	234	234
Plin4	3	3	2	3	5	0
Hdgfl2	1641	1622	1578	1491	1233	1347
Chaf1a	1922	1986	2023	1532	1721	1777
Adprh	888	858	841	945	641	681
Tmem39a	480	457	430	635	372	429
Timmdc1	405	415	412	504	337	336
Pla1a	141	124	111	386	96	105
Mcm2	3082	3063	3082	1826	2836	3052
Tpra1	920	825	877	775	734	685
Nab1	1273	1296	1287	2180	1283	1373
Adgre5	66	65	57	172	54	55
Il17ra	718	738	692	955	504	523
Lamb1	7839	7871	7234	15288	8761	8848
Kcnn1	96	91	89	84	70	68
Arrdc2	354	316	312	374	260	258
Ppp1r17	0	0	0	0	0	0
Cd36	15	10	11	8	2	9
Map2k7	348	385	411	398	349	387
Timm44	1168	1346	1259	1052	1042	1159
Ap2a2	2745	2497	2642	2055	2268	2232
Pnkp	672	694	679	581	453	469
Med25	1330	1221	1192	1154	1122	1169
Bcam	337	318	283	274	268	274
Clptm1	1870	1765	1837	1545	1211	1258
Relb	776	704	735	637	376	405
Tomm40	920	811	875	883	855	853
Apoe	18	17	29	21	19	18
Apoc2	0	0	0	0	0	0
Hbp1	969	974	927	718	637	615
Prkar2b	1278	1229	1262	1347	1461	1497
Cdkn1b	3186	3202	2988	2489	2425	2480
Klf4	374	327	320	529	154	161
Ap1m1	581	596	627	653	599	569
Rab8a	1343	1382	1293	1180	1136	1218
Hmgn2	295	348	307	277	412	474
Fam32a	1113	1154	1102	1211	994	983
Elf3	1504	1382	1393	958	976	986
Cyp2c29	0	0	0	0	0	0
Stard3nl	459	499	444	472	397	443
Stk11	2251	2148	2200	1819	1684	1822
Efna2	76	62	72	23	59	54
Atp5d	3671	3535	3520	3301	3562	3619
Ppp5c	791	792	788	631	669	713
Cdk12	773	788	788	690	589	587
Lipe	313	341	282	345	256	233
Pafah1b2	2862	2755	2723	2317	2409	2430
Tbc1d8	179	191	178	165	137	129
Cnot11	573	671	697	615	515	493
Slc2a3	3	2	2	1	1	1
Foxj2	995	982	974	599	596	648
Sri	1393	1354	1305	1107	1214	1312
Dgcr2	953	898	835	816	729	764
Irf3	570	562	562	583	447	449
Bcl2l12	70	68	66	83	63	67
Zfp959	57	46	56	87	63	63
Mpnd	1415	1462	1432	2026	1415	1328
Sh3gl1	1344	1367	1321	1254	1087	1208
Ebi3	1	0	1	1	1	3
Yju2	146	153	204	134	151	181
Ranbp2	3559	3824	3525	2413	2590	2884
Edar	0	0	1	0	0	1
Grk5	138	120	136	109	120	127
Dvl3	925	922	975	872	675	612
Abcf3	806	827	807	935	630	624
Eif2b5	1565	1502	1556	1230	1357	1276
Cyth2	964	972	967	977	701	714
Sult2b1	135	133	131	164	92	97
Car11	1	0	1	2	4	0
Dlgap1	20	16	18	56	7	12
Plag1	104	105	97	157	65	91
Hck	0	0	0	0	0	1
Mrpl4	993	915	880	662	786	800
Keap1	1040	1015	1023	641	782	830
Ap1m2	207	174	180	119	126	134
Glg1	6339	6606	6140	7592	6221	6496
Atp8b3	22	10	20	18	14	9
Btbd2	1498	1316	1317	1288	1168	1135
Csnk1g2	2767	2705	2627	3001	2664	2776
Abhd17a	1107	1019	929	1085	914	931
Mob3a	265	242	236	325	270	260
Cacnb3	1381	1368	1339	1303	1069	1131
Ccdc65	18	24	18	17	33	24
Fkbp11	334	302	265	455	368	353
Ddx23	1810	1672	1777	1428	1367	1478
Pld3	738	610	675	769	585	539
Grik5	886	865	919	735	712	832
Cd79a	0	0	1	1	0	2
Rabac1	1192	1175	1052	1076	796	860
Etv3	860	854	863	724	585	581
Prkcsh	2624	2477	2476	2856	2474	2299
Elavl3	0	1	1	0	2	0
Rab3b	0	0	1	1	0	1
St8sia6	0	0	0	1	0	0
Fcgrt	10	8	8	8	2	9
Nosip	844	876	829	562	566	583
Pih1d1	285	380	290	417	412	384
Rps11	4117	4093	4040	4337	4228	4241
Supt5	3555	3392	3463	2740	2225	2213
Dll3	0	1	0	0	0	0
Paf1	883	884	901	585	604	627
Timm50	898	955	929	641	797	805
Med29	157	138	158	142	147	129
Bicd1	74	106	93	100	74	46
Ncstn	1180	1122	1072	1730	1214	1212
Pex19	956	964	896	839	810	907
Phyhip	1	2	0	2	1	2
Crhr2	0	0	1	0	0	0
Inmt	0	0	0	2	0	2
Cyp4f18	0	2	0	0	0	0
Impdh1	644	659	647	609	509	515
Psg18	0	0	0	0	0	0
Dusp3	644	633	667	550	517	516
Prodh	271	258	282	239	207	227
Ess2	498	437	436	505	450	451
Slc25a1	984	870	871	1068	1089	1138
Dgcr6	542	530	512	413	458	436
Ddr1	2207	1999	2016	1942	1459	1381
Ier3	2866	2779	3007	4798	3194	3149
Fosb	84	73	93	113	63	62
Klc4	509	495	477	414	286	261
Ercc1	708	690	701	1821	839	903
Cyp17a1	0	0	0	0	0	0
As3mt	71	84	94	54	83	104
Homer3	320	375	335	275	238	256
Crtc1	214	251	217	311	224	207
Rnf215	225	206	203	234	156	160
Sec14l2	202	201	188	255	171	150
Aven	66	69	74	77	79	86
Cp	1509	1352	1256	5310	1910	2003
Crot	1166	1114	1085	841	774	849
Rps6ka1	1382	1321	1392	1272	1236	1216
Calb2	1	0	0	0	1	0
Snrnp200	3625	3555	3383	4000	3549	3624
Ciao1	883	790	808	567	608	627
Has1	1	2	1	1	3	0
Taf6l	382	380	391	262	275	319
Insig2	1407	1284	1168	1270	947	994
Kpna6	2507	2467	2539	1730	1763	1798
Man1a	767	767	791	1582	676	744
Itpkc	177	181	176	112	97	98
Coq8b	142	121	121	96	104	111
Brd8	1156	1157	1174	1056	1090	1123
Kif20a	2337	2395	2289	1597	2345	2339
Farsa	1484	1422	1439	903	1164	1179
Gcdh	350	361	372	388	348	346
Mast2	1896	1781	1737	1982	1522	1625
Dnase2a	251	263	243	239	203	178
Rad23a	1186	1113	1039	1212	968	984
Calr	6295	5647	5673	6602	5968	5983
Syce2	2	2	0	4	3	3
Nfat5	2437	2871	2331	3988	1904	2084
Nob1	1270	1316	1318	1356	930	932
Nqo1	283	364	358	166	345	331
Ppfia3	188	192	199	151	180	162
Gys1	859	812	825	1036	816	815
Ruvbl2	1999	2011	1943	1649	2053	2073
Lin7b	3	8	1	3	6	2
Bax	569	506	551	613	476	518
Il7r	0	0	0	0	0	0
Tfam	918	917	888	766	856	829
Zfp81	725	676	676	603	459	524
Efnb3	16	9	16	7	8	5
Mmd	1096	1136	1049	2244	1269	1136
Hlf	11	9	13	65	14	12
Fam162a	936	1001	975	1522	1379	1299
Rpl8	11773	11613	11258	10343	11413	11771
Grm3	0	0	0	0	0	0
Ssbp2	494	464	445	332	339	331
Fancl	290	259	261	277	318	287
Brinp2	0	0	0	0	0	0
Gstm5	196	172	154	251	204	193
Gstm7	1	2	2	9	2	1
Gstm3	0	0	0	0	0	0
Stat3	1558	1569	1417	2283	1299	1225
Stat5a	581	559	528	476	480	467
Cavin1	8704	8294	8070	5460	8106	8023
Map3k11	772	775	772	584	601	623
Akt2	1962	1941	1855	1886	1532	1575
Dnaja3	1306	1241	1195	1542	943	906
Hmox2	700	756	777	678	611	584
Cdip1	382	357	309	389	276	319
Map3k20	3798	3946	3793	3905	2985	3111
Cwc15	1444	1429	1359	1613	1235	1268
Col5a3	0	1	1	5	3	1
Dnmt1	5390	5499	5421	4687	5779	5963
Ppan	596	581	568	513	537	592
Angptl2	1221	1221	1290	1390	1105	1097
Cacna1e	0	1	0	0	0	0
Cacna1b	2	0	1	3	1	5
Trmt10a	181	221	219	338	260	265
Etv1	399	455	425	1342	618	673
Kifc2	43	41	40	53	22	26
Psap	8629	8310	8263	9280	8306	8376
Ikbkg	865	834	865	622	661	628
Pax2	0	0	0	0	0	0
Wars2	188	186	195	211	182	193
Atn1	141	140	143	127	145	127
Phb2	2587	2637	2633	2278	2342	2455
Ptpn6	394	393	402	381	434	410
Eno2	343	337	293	605	372	416
Emg1	927	929	874	913	913	940
Lpcat3	479	506	493	616	451	470
Atp6v1f	778	772	724	685	669	679
Il12b	0	0	0	0	0	0
Clcn5	698	808	677	1091	544	573
Clcn3	1803	1822	1781	2267	1558	1661
Hif3a	0	0	0	0	0	0
Gpx6	0	0	0	0	0	0
Gpx5	0	0	0	0	0	0
Pde1c	1	2	1	1	1	1
Utp20	1119	1207	1201	1233	1076	1187
Spic	0	0	0	0	0	0
9330159F19Rik	0	0	0	0	0	1
Cul3	2544	2606	2662	2758	2006	2090
Sst	0	0	0	0	1	0
Il11	9	10	15	20	9	8
Large1	430	362	353	342	282	293
Ddx56	1034	974	1053	946	823	864
Tmed4	1244	1202	1240	1350	994	1104
Col26a1	0	0	0	0	0	0
Bid	932	882	895	878	650	658
Ralb	1664	1545	1629	1338	1118	1153
Ppp1cc	2609	2561	2587	2428	2356	2451
Dnajb11	733	695	684	740	563	557
Tbccd1	306	263	272	279	192	213
Clec11a	14	14	14	18	14	17
Zfp324	131	138	113	140	121	109
Gab2	459	483	518	287	293	303
